,0
98,-942.867337175082
99,-895.5813906650284
100,-942.2238827343934
101,-896.6299504327288
102,-902.3605605200074
103,-929.6964600192949
104,-948.8448848981852
105,-906.3600438279195
106,-937.0293589166038
107,-919.979178713136
108,-799.7639662573772
109,-907.2615031576122
110,-940.7353746549117
111,-916.4466022816185
112,-928.4297744237595
113,-878.3338307040624
114,-908.6571981812453
115,-923.9325761237141
116,-940.8111177407727
117,-808.5686536533501
118,-850.1662539758141
119,-868.2766509187516
120,-891.5855259561409
121,-911.0498848135584
122,-925.8685195557298
123,-863.2462566090836
124,-890.0430559020041
125,-865.3961804546011
126,-929.8023809514154
127,-962.8448609636451
128,-914.1734870759321
129,-894.7019373248311
130,-957.7095203106323
131,-928.2377865068785
132,-948.1341705415786
133,-950.3231075513179
134,-930.7479814256834
135,-876.5956117615016
136,-960.4291210360582
137,-916.2565791024372
138,-891.9459775469313
139,-863.4755236889416
140,-963.6056110608918
141,-872.346615067688
142,-896.6149553196165
143,-942.3431127837779
144,-884.0525624542702
145,-945.1049675421413
146,-917.5502300079171
147,-941.0558411907532
148,-960.0011899673835
149,-854.5016394148993
150,-927.8161736292245
151,-920.486138642467
152,-936.9113525159738
153,-933.9359580647528
154,-933.5694733625409
155,-939.6200281501768
156,-982.7548092791783
157,-894.647257532653
158,-935.6553868916372
159,-894.4549470142833
160,-922.0447599042669
161,-947.9038797626606
162,-916.3206400057989
163,-919.4730332305734
164,-941.7229109125984
165,-569.543978457972
166,-957.313438595925
167,-993.2911476763546
168,-955.9824087884814
169,-973.4025306071634
170,-949.8188650020646
171,-969.6609660642556
172,-940.419311205328
173,-964.6000230513482
174,-958.3710829504404
175,-959.7241440932747
176,-980.8783645173563
177,-973.4808336834183
178,-991.6495437273147
179,-1019.6826588174712
180,-981.7728986888924
181,-845.2535933498154
182,-936.9674169116188
183,-969.2397271729711
184,-944.1574102212202
185,-849.8248879740813
186,-920.0891748598152
187,-980.2028214618828
188,-991.4448392006964
189,-938.3023555205423
190,-737.5449478718276
191,-953.1413134292463
192,-931.1465670626794
193,-965.2767460709937
194,-957.8507298983458
195,-980.3328353390104
196,-986.1322728384605
197,-776.0648529265684
198,-980.6727801100427
199,-970.7785036140135
200,-951.2149703937283
201,-961.5698078824192
202,-921.1537455216326
203,-968.89111878484
204,-968.7515559303833
205,-938.102023604196
206,-960.3839464830426
207,-993.9238569118344
208,-839.1791710319769
209,-994.4710917274886
210,-759.5223986742603
211,-990.2009642150371
212,-779.4258213364687
213,-969.3961004467807
214,-682.8489844190474
215,-853.4996639817464
216,-973.2523418662354
217,-949.6872498029356
218,-938.9704955896807
219,-944.613733475736
220,-921.0000130911617
221,-953.9921433864097
222,-978.2169850322167
223,-986.2096497218513
224,-960.4580373259519
225,-870.5214510016701
226,-923.4114743898826
227,-784.044835901524
228,-776.1716950958926
229,-922.3234611763588
230,-972.1125711320994
231,-946.0888283158287
232,-697.827484879364
233,-674.2889629674036
234,-643.1219112822399
235,-839.0087293250008
236,-840.3717300778546
237,-976.1553030424745
238,-964.2091546352643
239,-692.7980378399939
240,-905.8077108968879
241,-858.7428393712365
242,-865.9348130541405
243,-946.163055148943
244,-933.3430439652508
245,-939.529287770815
246,-809.3129705333072
247,-818.5864613293376
