,0
213,7790.709349547131
214,4600.931916095552
215,2149.8448940771286
216,8812.381240179031
217,4669.9554581185375
218,3621.5546836733974
219,812.24788479381
220,7487.127960834542
221,2533.2872368382727
222,6369.597380867326
223,4364.255877226608
224,1343.022644772454
225,-401.69510331786694
226,1843.0076729221191
227,3293.6175875294525
228,-145.75263204906946
229,1379.7485314430214
230,1464.9951231911527
231,2189.519842284183
232,1277.4003961578535
233,2137.774025692469
234,1252.060116427388
235,963.9751264034771
236,2900.5915766745516
237,1614.490651614542
238,1976.0031022800713
239,1020.7896346740408
240,-83.67669870782629
241,1299.7377794469821
242,1131.1483050389377
243,1650.2387591558359
244,1532.8770228613905
245,-168.3193891140089
246,1043.6171161612508
247,1945.4153873860246
248,1724.836157421662
249,1036.6283477193406
250,2837.9134266332585
251,-615.1403934262801
252,1509.018264909642
253,1841.496673000031
254,6586.363835400318
255,1333.7109839807665
256,1687.2869934026749
257,637.211883541451
258,4500.738421147732
259,-417.50220110283703
260,7455.170954913423
261,-87.41800511186466
262,6745.557307896817
263,7231.076834455661
264,9607.500259299024
265,9345.676246214302
266,8277.233673235636
267,6546.053678737616
268,6493.891244551381
269,-738.8095816550594
270,9739.67538727313
271,11156.816237064932
272,5868.389764092486
273,5794.255345451722
274,-360.10790936249225
275,-226.99079613760773
276,606.566801186608
277,12814.419549338632
278,6803.595863784243
279,4768.165579263366
280,7305.768019363164
281,-56.38077097663211
282,8815.3387409579
283,9304.91372279019
284,10048.873902311108
285,11930.974241873531
286,4060.5195874063575
287,9317.549451223462
288,6472.478800425918
289,11087.955360096948
290,-314.4849770491437
291,600.6046227859408
292,12389.571118312466
293,2315.712348184683
294,233.8905539334537
295,12187.632817028794
296,-776.5902052752117
297,6387.742124835235
298,-498.54214478951377
299,10973.349669621293
300,5212.280289782457
301,3080.853520132673
302,9977.3274670502
303,786.7839717839036
304,-25.087085936864923
305,-714.9650565356626
306,5406.058948068372
307,11663.355157126447
308,-761.0577239471918
309,-515.541699178535
310,10663.840578207399
311,5129.164468331195
312,11617.614111979088
313,11269.67065903344
314,13326.679803528421
315,4293.315769969011
316,7657.694854140488
317,12097.169226609214
318,13177.001940950675
319,7960.421559480654
320,12779.231360420881
321,11719.005280577485
322,12354.823470346068
323,-805.8807139110075
324,6182.066141577291
325,6857.637516299759
326,8530.111004190927
327,12180.973033859113
328,11798.768693586528
329,3798.376281353998
330,7346.532046548242
331,24355.666204154215
332,13551.072348266242
333,12641.42787297911
334,13910.886319115934
335,5994.662808983501
336,12496.25355698496
337,6392.626735649527
338,13029.013169010981
339,-529.5187440405875
340,12361.389100940785
341,4970.512278086513
342,11341.505282987304
343,5579.852146173062
344,12190.672039671537
345,7913.830200596929
346,13508.294994725751
347,13108.411953022302
348,12318.30564235407
349,4960.569832505681
350,6203.65597208973
351,14867.466362576013
352,25465.015104151407
353,12110.053027864293
354,5036.095191970712
355,8025.563027108159
356,12659.384846393246
357,13253.042051400656
358,8820.17168985593
359,26671.666646793714
360,11544.966675902107
361,7928.857174983759
362,5647.052297974976
